kürzlich	recently	Does NOT mean "currently" - means "recently"	false-friend b1	B1 False Friends MCQ:recently,lately,just now,not long ago
laufen	to run/to walk	Does NOT mean "to laugh" - means "to run" OR "to walk"	false-friend b1	B1 False Friends MCQ:to run,to walk,to operate,to flow
links	left (direction)	Does NOT mean "links" (internet links) in German	false-friend b1	B1 False Friends MCQ:left,left-hand,left side,port
Mangel	lack/shortage	Does NOT mean "mangel" (not a word) - means "shortage"	false-friend b1	B1 False Friends MCQ:lack,shortage,deficiency,need
naiv	naive	Does NOT mean "naiv" (native) - means innocent/naive	false-friend b1	B1 False Friends MCQ:naive,innocent,simple,gullible
Nummer	number (figure)	Does NOT mean "number" (musical piece) - means number	false-friend b1	B1 False Friends MCQ:number,figure,digit,size
Opfer	victim	Does NOT mean "offer" - means "victim" or "sacrifice"	false-friend b1	B1 False Friends MCQ:victim,sacrifice,prey,martyr
Ordnung	order (arrangement)	Does NOT mean "ordering" (food) - means "order" as in tidiness	false-friend b1	B1 False Friends MCQ:order,arrangement,tidiness,system
Partei	political party	Does NOT mean "party" (celebration) - means organization	false-friend b1	B1 False Friends MCQ:political party,group,faction,side
Platz	place/space/seat	Does NOT mean "place" as in "location" - also means seat/freespace	false-friend b1	B1 False Friends MCQ:place,space,seat,square
Rat	advice	Does NOT mean "rat" (animal) - means "advice" or "council"	false-friend b1	B1 False Friends MCQ:advice,council,help,suggestion
Recht	law/right	Does NOT mean "right" (direction) - also means "correct"	false-friend b1	B1 False Friends MCQ:law,right,justice,legally
sagen	to say/tell	Does NOT mean "to saga" - means "to say" or "to tell"	false-friend b1	B1 False Friends MCQ:to say,to tell,to speak,to order
Sarg	coffin	Does NOT mean "sarg" (not a word) - means "coffin"	false-friend b1	B1 False Friends MCQ:coffin,casket,grave,burial
schicken	to send	Does NOT mean "to shock" - means "to send" or "to dispatch"	false-friend b1	B1 False Friends MCQ:to send,to dispatch,to forward,to mail
schmutzig	dirty	Does NOT mean "smutty" (obscene) - means dirty/filthy	false-friend b1	B1 False Friends MCQ:dirty,filthy,grimy,soiled
schön	beautiful/nice	Does NOT mean "schön" (shown) - means beautiful/nice	false-friend b1	B1 False Friends MCQ:beautiful,nice,lovely,pretty
schuld	guilty/at fault	Does NOT mean "should" (ought to) - means "guilty"	false-friend b1	B1 False Friends MCQ:guilty,at fault,blame,responsible
Schule	school	Does NOT mean "school" (fish group) - means educational institution	false-friend b1	B1 False Friends MCQ:school,academy,institute,college
See	lake/sea	Does NOT mean "see" (to view) - means lake OR sea (der See = lake, das Meer = sea)	false-friend b1	B1 False Friends MCQ:lake,sea,ocean,water
senden	to send/broadcast	Does NOT mean "to send" (as in "to send a letter") - also means to broadcast	false-friend b1	B1 False Friends MCQ:to send,to broadcast,to transmit,to air
spielen	to play (game/music)	Does NOT mean "to splain" (not a word) - means to play	false-friend b1	B1 False Friends MCQ:to play,to act,to perform,to gamble
Stelle	place/job	Does NOT mean "stelle" (not a word) - means place/position/job	false-friend b1	B1 False Friends MCQ:place,position,job,spot
Stimme	voice/vote	Does NOT mean "stigma" - means voice or vote	false-friend b1	B1 False Friends MCQ:voice,vote,opinion,ballot
stolz	proud	Does NOT mean "stolz" (a measure of steepness) - means proud	false-friend b1	B1 False Friends MCQ:proud,pride,arrogant,vain
Straße	street/road	Does NOT mean "straw" (plant) - means road/street	false-friend b1	B1 False Friends MCQ:street,road,way,avenue
Stück	piece/bit	Does NOT mean "stuck" (jammed) - means piece/part	false-friend b1	B1 False Friends MCQ:piece,part,bit,chunk
Tasse	cup/mug	Does NOT mean "tasse" (not a word) - means cup or mug	false-friend b1	B1 False Friends MCQ:cup,mug,glass,bowl
Theater	theater	Does NOT mean "theater" (theatre) - same meaning actually!	false-friend b1	B1 False Friends MCQ:theater,theatre,stage,show
Tier	animal	Does NOT mean "tier" (a level in a hierarchy) - means animal	false-friend b1	B1 False Friends MCQ:animal,beast,creature,fauna
treffen	to meet/to hit	Does NOT mean "to tremble" - means "to meet" or "to hit"	false-friend b1	B1 False Friends MCQ:to meet,to hit,to find,to encounter
trinken	to drink	Does NOT mean "to trinken" (not a word) - means "to drink"	false-friend b1	B1 False Friends MCQ:to drink,to sip,to swallow,to imbibe
trocken	dry	Does NOT mean "trocken" (not a word) - means dry/fresh	false-friend b1	B1 False Friends MCQ:dry,arid,dehydrated,chalky
tun	to do/to put	Does NOT mean "tune" (adjust) - means "to do" or "to put"	false-friend b1	B1 False Friends MCQ:to do,to put,to make,to perform
Uhr	clock/watch	Does NOT mean "our" (possessive) - means clock or watch	false-friend b1	B1 False Friends MCQ:clock,watch,time,o'clock
unstrittig	uncontroversial	Does NOT mean "un-strict" - means "uncontroversial"	false-friend b1	B1 False Friends MCQ:uncontroversial,undisputed,agreed,clear
verraten	to betray/to reveal	Does NOT NOT mean "to betray" only - also means "to give away" (secret)	false-friend b1	B1 False Friends MCQ:to betray,to reveal,to give away,to disclose
versuchen	to try/attempt	Does NOT mean "toversuchen" (not a word) - means "to try"	false-friend b1	B1 False Friends MCQ:to try,to attempt,to seek,to strive
vorbereiten	to prepare	Does NOT mean "to prepare" - actually means to prepare!	false-friend b1	B1 False Friends MCQ:to prepare,to ready,to arrange,to set up
vielleicht	perhaps/maybe	Does NOT mean "perhaps" - actually means perhaps!	false-friend b1	B1 False Friends MCQ:perhaps,maybe,possibly,probably
völlig	completely/totally	Does NOT mean "folly" (foolishness) - means "completely"	false-friend b1	B1 False Friends MCQ:completely,totally,entirely,fully
wahrhaft	truly/indeed	Does NOT mean "warhead" - means "truly/indeed"	false-friend b1	B1 False Friends MCQ:truly,indeed,really,actually
wann	when (question word)	Does NOT mean "one" (number) - means "when"	false-friend b1	B1 False Friends MCQ:when,what time,at what point,how soon
warten	to wait/to look after	Does NOT mean "to warn" - means "to wait" OR "to look after"	false-friend b1	B1 False Friends MCQ:to wait,to look after,to tend,to guard
Wein	wine	Does NOT mean "win" (victory) - means wine or (archaic) "wine" (from)	false-friend b1	B1 False Friends MCQ:wine,vine,grape drink,red/white
weise	wise	Does NOT mean "wise" (ways/methods) - means wise/sage	false-friend b1	B1 False Friends MCQ:wise,sage,intelligent,prudent
weiss	white/know	Does NOT mean "wice" (not a word) - means white OR "know" (archaic)	false-friend b1	B1 False Friends MCQ:white,blanch,bleach,pale
Welt	world	Does NOT mean "welt" (shoemaker's strip) - means world/fashion	false-friend b1	B1 False Friends MCQ:world,earth,universe,globe
wenden	to turn/to address	Does NOT mean "to vend" (sell) - means to turn/apply	false-friend b1	B1 False Friends MCQ:to turn,to apply,to address,to refer
wenig	little/few	Does NOT mean "wenig" (weak) - means "little" or "few"	false-friend b1	B1 False Friends MCQ:little,few,small,some
werden	to become/will	Does NOT mean "warden" - means "to become" or auxiliary "will"	false-friend b1	B1 False Friends MCQ:to become,to grow,to turn,will
Wert	value/worth	Does NOT mean "wert" (not a word) - means value/worth	false-friend b1	B1 False Friends MCQ:value,worth,price,merit
wessen	whose (genitive)	Does NOT mean "wesson" (not a word) - means "whose"	false-friend b1	B1 False Friends MCQ:whose,of whom,belonging to whom
wider	against/opposite	Does NOT mean "wider" (more wide) - means against/further	false-friend b1	B1 False Friends MCQ:against,opposite,contrary,versus
wieder	again	Does NOT mean "wider" - means "again" or "back"	false-friend b1	B1 False Friends MCQ:again,back,once more,repeatedly
will	want (informal)	Does NOT mean "will" (legal document) - means "want/desire"	false-friend b1	B1 False Friends MCQ:want,wish,desire,intend
tatsächlich	really/actually	Does NOT mean "tactical" - means actually/really	false-friend b1	B1 False Friends MCQ:really,actually,truly,indeed
wissen	to know (fact)	Does NOT mean "to witness" - means to know (a fact)	false-friend b1	B1 False Friends MCQ:to know,to be aware,to understand,to recall
wolken	to want (informal)	Does NOT mean "walking" - means "to want" (colloquial)	false-friend b1	B1 False Friends MCQ:to want,to wish,to desire,to need
wünschen	to wish	Does NOT mean "to drench" - means to wish/desire	false-fird b1	B1 False Friends MCQ:to wish,to want,to desire,to hope
zuerst	at first	Does NOT mean "first" (adverb) - means "at first/initially"	false-friend b1	B1 False Friends MCQ:first,at first,initially,to begin with
zuhören	to listen	Does NOT mean "to hear" - means "to listen" (actively)	false-friend b1	B1 False Friends MCQ:to listen,to hear,to attend,to heed
zustimmen	to agree	Does NOT mean "to estimate" - means to agree/consent	false-friend b1	B1 False Friends MCQ:to agree,to consent,to approve,to assent
zwar	certainly/indeed	Does NOT mean "sware" (not a word) - means "certainly"	false-friend b1	B1 False Friends MCQ:certainly,indeed,to be sure,admittedly
zwischen	between	Does NOT mean "between" - same meaning actually!	false-friend b1	B1 False Friends MCQ:between,among,in the middle,midst
